s,R,r,G,g,m,M,p,D,d,N,n,Raag
1,12,0,0,21,15,0,8,15,0,0,14,Bhairav
 29,18,0,0,22,23,0,11,8,0,0,16,Bhairav
 26,8,0,0,21,17,0,19,27,0,1,20,Bhairav
 28,10,0,0,13,19,0,11,21,0,0,22,Bhairav
 19,8,0,0,0,15,0,10,14,0,2,11,Bhairav
 19,7,0,0,11,16,0,19,16,0,1,14,Bhairav
 18,8,0,0,13,15,0,15,15,0,3,8,Bhairav
 20,8,0,0,14,24,0,17,15,0,4,12,Bhairav
 28,5,0,0,17,37,0,30,27,0,0,24,Bhairav
 25,9,0,0,16,27,0,19,18,0,17,14,Bhairav
 44,17,0,0,17,23,0,10,15,0,1,31,Bhairav
 13,8,0,0,5,5,0,7,5,1,0,4,Bhairav
 39,17,0,0,20,34,0,9,12,0,1,17,Bhairav
 35,11,0,0,11,27,0,15,13,0,0,23,Bhairav
 22,8,0,0,17,33,0,17,8,0,3,11,Bhairav
 12,5,0,0,13,21,0,20,9,0,1,12,Bhairav
 26,8,0,0,16,20,0,17,12,0,0,15,Bhairav
 29,15,1,0,13,19,0,16,14,2,0,18,Bhairav
 23,8,0,0,12,23,0,22,20,0,0,21,Bhairav
 19,10,0,0,10,15,0,10,12,0,0,16,Bhairav
 15,3,0,0,8,18,0,20,16,0,4,7,Bhairav
 21,9,0,0,16,21,0,14,11,1,0,13,Bhairav
 18,9,0,0,10,9,0,12,12,0,1,14,Bhairav
 19,13,0,0,11,13,0,12,13,0,1,11,Bhairav
 12,12,0,0,12,14,0,17,15,0,2,7,Bhairav
 17,5,0,0,11,9,0,14,9,0,0,15,Bhairav
 9,4,0,0,7,15,0,14,11,1,0,7,Bhairav
 26,21,0,0,31,43,0,20,9,0,0,14,Bhairav
 12,0,1,0,5,7,0,5,0,10,2,14,Bhairav
 46,19,0,0,34,47,0,36,44,0,8,33,Bhairav
 39,13,0,0,22,37,0,44,29,0,2,40,Bhairav
 39,17,0,0,20,24,0,23,23,0,0,25,Bhairav
 43,14,0,0,25,38,0,36,28,0,1,28,Bhairav
 29,13,0,0,16,23,0,15,13,0,0,19,Bhairav
 27,7,0,0,9,16,0,18,8,0,1,14,Bhairav
 38,13,0,0,22,35,0,28,22,0,1,35,Bhairav
 14,5,0,0,7,6,0,5,4,0,0,9,Bhairav
 32,11,0,0,7,10,0,12,17,0,2,19,Bhairav
 27,10,0,0,12,18,0,14,16,0,0,20,Bhairav
 25,9,0,0,9,11,0,14,17,0,0,19,Bhairav
 26,9,0,0,14,17,0,20,21,0,2,18,Bhairav
 22,5,0,0,10,12,0,15,15,0,0,17,Bhairav
 3,6,0,0,6,0,8,1,8,0,0,7,Poorvi
 10,10,0,0,16,1,17,4,9,0,0,4,Poorvi
 21,14,0,0,17,2,23,8,25,0,0,11,Poorvi
